Sample	SRA	BioProject	Location	Location_short	Latitude	Longitude	Plant	Plant_part	Organ_material	Year	Season	Species	location
S48	SRR29528543	PRJNA1127768	Aniva urban district, Sakhalin region	Aniva urban district	46,771735	142,520658	Pc2-Sakh	Shoot_system	Stem	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S49	SRR29528518	PRJNA1127768	Aniva urban district, Sakhalin region	Aniva urban district	46,771735	142,520658	Pc2-Sakh	Root_system	Root	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S50	SRR29528517	PRJNA1127768	Aniva urban district, Sakhalin region	Aniva urban district	46,771735	142,520658	Pc2-Sakh	Root_system	Root	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S51	SRR29528516	PRJNA1127768	Aniva urban district, Sakhalin region	Aniva urban district	46,771735	142,520658	Pc2-Sakh	Shoot_system	Seed	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S52	SRR29528515	PRJNA1127768	Aniva urban district, Sakhalin region	Aniva urban district	46,771735	142,520658	Pc2-Sakh	Shoot_system	Seed	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S53	SRR29528513	PRJNA1127768	Kholmsky urban district, Sakhalin region	Kholmsky urban district	47,057867	142.130470	Pc3-Sakh	Shoot_system	Leaf	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S54	SRR29528512	PRJNA1127768	Kholmsky urban district, Sakhalin region	Kholmsky urban district	47,057867	142.130470	Pc3-Sakh	Shoot_system	Leaf	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S55	SRR29528511	PRJNA1127768	Kholmsky urban district, Sakhalin region	Kholmsky urban district	47,057867	142.130470	Pc3-Sakh	Shoot_system	Stem	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S56	SRR29528486	PRJNA1127768	Kholmsky urban district, Sakhalin region	Kholmsky urban district	47,057867	142.130470	Pc3-Sakh	Shoot_system	Stem	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S57	SRR29528485	PRJNA1127768	Kholmsky urban district, Sakhalin region	Kholmsky urban district	47,057867	142.130470	Pc3-Sakh	Root_system	Root	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S58	SRR29528484	PRJNA1127768	Kholmsky urban district, Sakhalin region	Kholmsky urban district	47,057867	142.130470	Pc3-Sakh	Root_system	Root	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
